640, 94, 911, 379
470, 277, 766, 342
23, 375, 706, 274
987, 585, 934, 966
419, 274, 939, 191
738, 945, 182, 980
260, 181, 844, 434
612, 252, 660, 50
738, 313, 747, 956
749, 203, 156, 145
756, 252, 715, 195
431, 322, 964, 132
571, 558, 230, 51
258, 601, 646, 556
497, 534, 323, 153
458, 995, 775, 660
865, 102, 298, 418
279, 251, 132, 259
126, 513, 128, 271
626, 762, 667, 667
423, 843, 33, 507
344, 351, 278, 562
70, 478, 585, 382
604, 411, 847, 549
341, 567, 756, 952
358, 502, 485, 954
114, 418, 570, 132
392, 476, 222, 881
947, 160, 10, 608
846, 736, 254, 298
276, 700, 562, 292
964, 964, 111, 818
435, 313, 16, 329
399, 213, 811, 236
168, 840, 276, 438
746, 357, 975, 969
370, 642, 538, 290
77, 441, 284, 150
169, 101, 286, 640
628, 286, 557, 46
154, 644, 294, 520
160, 92, 683, 739
265, 927, 928, 598
570, 236, 942, 898
803, 195, 700, 947
583, 232, 319, 510
255, 546, 927, 272
119, 997, 320, 746
595, 74, 310, 756
422, 896, 859, 842
676, 251, 64, 86
297, 546, 82, 806
512, 924, 740, 973
896, 205, 540, 293
850, 435, 928, 876
7, 402, 413, 722
982, 110, 499, 871
831, 27, 236, 913
445, 205, 272, 385
407, 964, 18, 396
410, 300, 741, 731
58, 155, 201, 600
51, 394, 219, 719
419, 598, 589, 538
514, 331, 273, 684
491, 762, 138, 172
442, 9, 213, 593
896, 119, 80, 318
923, 363, 595, 724
293, 56, 427, 389
143, 75, 897, 585
155, 111, 452, 492
897, 563, 809, 882
137, 631, 571, 238
10, 25, 615, 468
902, 842, 617, 947
433, 926, 41, 636
356, 606, 705, 904
832, 798, 622, 245
962, 507, 289, 413
490, 633, 166, 869
908, 203, 563, 80
323, 632, 659, 684
811, 23, 141, 245
603, 558, 96, 2
536, 29, 572, 142
744, 880, 418, 680
91, 249, 806, 455
677, 155, 241, 481
127, 395, 152, 78
483, 740, 518, 253
693, 789, 208, 863
931, 554, 930, 201
424, 975, 701, 117
844, 674, 780, 206
80, 366, 475, 0
183, 714, 660, 982
280, 78, 399, 490
522, 872, 569, 683
925, 218, 774, 456
739, 469, 665, 138
622, 321, 303, 852
856, 207, 486, 269
783, 470, 134, 159
766, 125, 409, 434
299, 615, 837, 212
583, 684, 54, 500
22, 46, 209, 702
805, 831, 535, 385
357, 247, 533, 313
352, 430, 411, 832
308, 47, 485, 133
844, 531, 974, 967
872, 196, 362, 253
955, 474, 754, 229
123, 671, 704, 623
762, 33, 213, 432
113, 160, 412, 657
26, 355, 747, 365
885, 119, 194, 402
618, 434, 103, 870
75, 229, 564, 951
903, 198, 709, 149
280, 100, 437, 799
394, 990, 261, 272
260, 275, 256, 91
104, 266, 959, 285
352, 938, 282, 363
528, 807, 443, 306
862, 391, 719, 885
16, 546, 843, 738
378, 734, 270, 360
891, 176, 596, 672
285, 744, 275, 565
373, 813, 703, 166
943, 900, 258, 837
702, 757, 11, 791
974, 661, 281, 181
479, 66, 973, 605
988, 64, 906, 663
433, 139, 555, 560
841, 200, 720, 179
444, 41, 581, 813
226, 114, 40, 757
747, 697, 715, 91
843, 894, 825, 586
706, 615, 840, 289
784, 922, 771, 176
846, 518, 541, 603
927, 948, 625, 493
297, 547, 337, 279
827, 399, 741, 821
795, 19, 129, 473
800, 787, 218, 985
580, 113, 127, 941
866, 228, 907, 558
311, 873, 313, 894
8, 38, 892, 167
554, 702, 81, 414
582, 828, 440, 925
310, 854, 943, 377
798, 326, 429, 499
589, 895, 387, 908
240, 583, 623, 151
831, 743, 813, 0
786, 544, 411, 179
192, 778, 241, 271
548, 657, 148, 96
755, 845, 812, 951
629, 751, 229, 202
849, 5, 504, 236
587, 832, 243, 692
842, 887, 147, 58
