USER_ID,EXPENSE
000092,$5
000076,$2
000047,$3
000080,$4
000076,$4
000051,$3
000025,$2
000094,$2
000012,$5
000099,$4
000028,$3
000091,$4
000090,$5
000091,$5
000068,$5
000076,$3
000008,$3
000042,$4
000088,$4
000064,$1
000076,$3
000046,$4
000018,$2
000048,$2
000012,$3
000005,$5
000037,$1
000053,$4
000081,$2
000018,$2
000097,$1
000000,$1
000036,$5
000099,$2
000062,$2
000097,$3
000054,$1
000002,$1
000023,$2
000036,$2
000087,$4
000077,$4
000007,$3
000038,$1
000040,$4
000026,$3
000062,$4
000087,$2
000033,$2
000083,$1
000021,$1
000091,$4
000096,$2
000049,$5
000033,$2
000014,$4
000069,$1
000001,$5
000027,$2
000009,$5
000020,$1
000028,$3
000050,$1
000081,$2
000049,$5
000045,$3
000021,$4
000069,$1
000045,$3
000091,$4
000048,$2
000076,$4
000028,$5
000014,$1
000088,$5
000050,$4
000081,$1
000093,$1
000020,$2
000073,$4
000014,$4
000084,$2
000050,$1
000031,$2
000003,$3
000024,$3
000039,$4
000092,$3
000030,$3
000025,$5
000040,$3
000018,$2
000092,$2
000094,$3
000011,$2
000099,$3
000042,$4
000085,$5
000051,$5
000012,$5
000035,$3
000095,$4
000044,$3
000067,$3
000074,$3
000030,$4
000011,$2
000037,$3
000050,$5
000003,$2
000053,$5
000057,$5
000059,$3
000095,$2
000003,$4
000082,$4
000087,$2
000046,$1
000065,$4
000048,$1
000071,$3
000044,$1
000083,$1
000047,$2
000006,$1
000002,$4
000071,$1
000040,$4
000076,$3
000010,$5
000032,$5
000063,$5
000071,$4
000048,$4
000077,$4
000004,$2
000046,$3
000064,$3
000035,$3
000015,$4
000071,$1
000049,$3
000054,$4
000078,$3
000042,$2
000068,$1
000011,$1
000095,$1
000036,$5
000045,$5
000034,$5
000068,$2
000043,$1
000069,$4
000088,$5
000086,$4
000086,$5
000080,$1
000040,$2
000081,$1
000064,$5
000085,$4
000060,$2
000016,$4
000044,$4
000032,$1
000094,$4
000016,$5
000025,$5
000006,$2
000020,$4
000039,$4
000035,$4
000099,$1
000084,$4
000010,$3
000000,$2
000096,$4
000063,$3
000087,$4
000018,$5
000075,$2
000051,$5
000083,$3
000096,$2
000077,$3
000082,$2
000063,$2
000024,$1
000051,$1
000057,$2
000094,$3
000099,$1
000060,$1
000048,$4
000069,$2
000008,$2
000071,$1
000043,$5
000005,$3
000044,$3
000064,$2
000025,$3
000075,$1
000017,$4
000024,$3
000088,$2
000083,$4
000037,$1
000099,$5
000033,$3
000076,$5
000063,$4
000033,$2
000088,$4
000060,$3
000098,$4
000055,$1
000017,$3
000057,$4
000093,$4
000037,$3
000053,$2
000046,$3
000038,$5
000056,$5
000085,$4
000024,$1
000042,$5
000056,$3
000033,$5
000057,$1
000079,$2
000011,$1
000082,$4
000041,$4
000093,$4
000067,$4
000069,$2
000062,$4
000052,$2
000028,$5
000061,$5
000098,$1
000011,$1
000035,$2
000023,$4
000062,$1
000000,$4
000005,$2
000019,$5
000031,$4
000098,$3
000061,$5
000030,$4
000027,$3
000058,$5
000022,$4
000087,$4
000025,$3
000005,$5
000096,$1
000089,$1
000068,$1
000040,$5
000027,$2
000062,$2
000066,$2
000038,$4
000098,$3
000042,$3
000003,$5
000091,$2
000009,$4
000039,$4
000030,$3
000012,$4
000034,$5
000040,$1
000051,$4
000067,$5
000059,$1
000072,$1
000039,$4
000049,$2
000028,$2
000009,$5
000031,$3
000012,$1
000054,$4
000096,$4
000067,$2
000079,$4
000070,$1
000028,$2
000058,$4
000019,$3
000064,$5
000013,$1
000053,$4
000013,$4
000073,$2
000069,$4
000045,$5
000024,$2
000053,$3
000059,$2
000033,$3
000051,$4
000039,$3
000061,$4
000042,$3
000062,$2
000023,$5
000052,$4
000079,$5
000002,$4
000057,$1
000080,$1
000014,$2
000013,$2
000052,$1
000031,$2
000091,$1
000072,$4
000021,$2
000077,$4
000046,$4
000030,$4
000049,$2
000005,$1
000017,$4
000081,$5
000064,$4
000095,$2
000016,$2
000094,$2
000064,$5
000079,$5
000086,$2
000017,$5
000088,$4
000055,$1
000015,$3
000069,$3
000048,$3
000034,$3
000019,$2
000014,$3
000004,$1
000096,$4
000061,$5
000090,$1
000064,$5
000018,$4
000021,$2
000085,$2
000065,$1
000071,$4
000005,$1
000064,$4
000013,$3
000007,$4
000068,$5
000039,$3
000028,$4
000076,$2
000013,$3
000043,$5
000011,$1
000011,$3
000033,$2
000088,$1
000017,$4
000001,$3
000002,$3
000043,$2
000080,$1
000045,$5
000025,$5
000097,$1
000042,$4
000071,$4
000092,$3
000063,$2
000078,$2
